business_id,labels
1000,1 2 3 4 5 6 7
1001,0 1 6 8
100,1 2 4 5 6 7
1006,1 2 4 5 6
1010,0 6 8
101,1 2 3 4 5 6
1011,2 3 5 6
1012,1 2 3 5 6
1014,1 2 4 5 6
1015,1 5 6 7
1017,5 6 8
1022,0 2 3 5 8
1024,0 1 2 3 4 5 6
1026,1 2 4 5 6 7
1029,1 2 3 5 6 7
1030,0 3 5 8
103,1 2 3 4 5 6 7
1031,6 8
1032,1 2 3 5 6 7
1035,5 6 8
1036,1 2 4 5 6 7
1038,1 2 4 5 6 7
1039,0 8
1040,0 2 6 7 8
1041,0 8
1043,0 6 8
104,0 1 6 8
1044,0 8
1046,0 6 8
1048,0 1 2 3 5 6
1052,0 3 8
105,2 3 5 6
1054,6 8
1055,3 5 6
1056,8
1057,0 3 8
1059,1 2 3 5 6 7
1061,0 8
1063,6 8
1064,6 8
1065,1 2 5 6
1067,1 2 5 6 7 8
1069,3 8
1070,1 2 5 6 8
1073,0 1 2 3 5 6 7
1074,1 2 4 5 6 7
1075,0 2 3 5 6 8
1077,1 2 3 4 5 6 7
1079,5 6 8
